ID,Date,Bus Boardings,Rail Boardings,Total Number of Boardings
6118,8/1/17,"789,859","773,470","1,563,329"
6119,8/2/17,"771,256","811,636","1,582,892"
6120,8/3/17,"763,271","834,427","1,597,698"
6121,8/4/17,"732,776","827,248","1,560,024"
6122,8/5/17,"503,623","546,783","1,050,406"
6123,8/6/17,"376,669","430,711","807,380"
6124,8/7/17,"733,495","704,247","1,437,742"
6125,8/8/17,"761,850","735,234","1,497,084"
6126,8/9/17,"759,657","732,813","1,492,470"
6127,8/10/17,"747,519","745,430","1,492,949"
6128,8/11/17,"746,418","756,699","1,503,117"
6129,8/12/17,"505,271","477,767","983,038"
6130,8/13/17,"384,338","351,048","735,386"
6131,8/14/17,"722,238","716,772","1,439,010"
6132,8/15/17,"774,523","700,422","1,474,945"
6133,8/16/17,"739,357","734,845","1,474,202"
6134,8/17/17,"722,939","751,673","1,474,612"
6135,8/18/17,"741,688","751,342","1,493,030"
6136,8/19/17,"510,200","488,523","998,723"
6137,8/20/17,"395,932","381,042","776,974"
6138,8/21/17,"707,640","675,484","1,383,124"
6139,8/22/17,"741,370","697,126","1,438,496"
6140,8/23/17,"763,384","719,511","1,482,895"
6141,8/24/17,"749,315","748,046","1,497,361"
6142,8/25/17,"749,192","741,123","1,490,315"
6143,8/26/17,"487,453","446,049","933,502"
6144,8/27/17,"358,840","336,109","694,949"
6145,8/28/17,"761,796","740,387","1,502,183"
6146,8/29/17,"783,337","763,274","1,546,611"
6147,8/30/17,"801,205","779,477","1,580,682"
6148,8/31/17,"791,635","785,637","1,577,272"
6149,9/1/17,"827,394","760,661","1,588,055"
6150,9/2/17,"512,150","481,961","994,111"
6151,9/3/17,"417,707","410,951","828,658"
6152,9/4/17,"375,104","326,524","701,628"
6153,9/5/17,"893,214","763,159","1,656,373"
6154,9/6/17,"854,979","785,896","1,640,875"
6155,9/7/17,"867,162","801,972","1,669,134"
6156,9/8/17,"849,319","809,597","1,658,916"
6157,9/9/17,"511,569","488,232","999,801"
6158,9/10/17,"383,625","375,160","758,785"
6159,9/11/17,"861,907","767,744","1,629,651"
6160,9/12/17,"883,298","813,900","1,697,198"
6161,9/13/17,"876,445","813,293","1,689,738"
6162,9/14/17,"874,356","838,725","1,713,081"
6163,9/15/17,"871,656","838,001","1,709,657"
6164,9/16/17,"517,447","521,275","1,038,722"
6165,9/17/17,"386,719","379,480","766,199"
6166,9/18/17,"866,120","772,443","1,638,563"
6167,9/19/17,"861,844","786,075","1,647,919"
6168,9/20/17,"887,017","795,055","1,682,072"
6169,9/21/17,"859,255","788,217","1,647,472"
6170,9/22/17,"854,042","781,053","1,635,095"
6171,9/23/17,"499,368","464,903","964,271"
6172,9/24/17,"378,420","351,102","729,522"
6173,9/25/17,"861,042","767,660","1,628,702"
6174,9/26/17,"877,350","791,462","1,668,812"
6175,9/27/17,"882,592","796,822","1,679,414"
6176,9/28/17,"881,438","809,624","1,691,062"
6177,9/29/17,"898,739","811,721","1,710,460"
6178,9/30/17,"524,516","482,974","1,007,490"
6179,10/1/17,"389,470","361,156","750,626"
6180,10/2/17,"877,992","767,540","1,645,532"
6181,10/3/17,"921,022","794,082","1,715,104"
6182,10/4/17,"889,343","798,360","1,687,703"
6183,10/5/17,"889,166","816,694","1,705,860"
6184,10/6/17,"841,999","805,746","1,647,745"
6185,10/7/17,"484,231","469,808","954,039"
6186,10/8/17,"374,005","539,097","913,102"
6187,10/9/17,"712,539","752,125","1,464,664"
6188,10/10/17,"874,192","822,023","1,696,215"
6189,10/11/17,"850,229","817,909","1,668,138"
6190,10/12/17,"870,996","810,442","1,681,438"
6191,10/13/17,"879,791","796,714","1,676,505"
6192,10/14/17,"376,288","368,266","744,554"
6193,10/15/17,"362,392","335,609","698,001"
6194,10/16/17,"867,372","776,457","1,643,829"
6195,10/17/17,"882,601","819,635","1,702,236"
